"SS00637","GMR_SS00637-20130124_31_D4"
"L578","JRC_SS03776-20151014_32_E8"
"MB077B","GMR_MB077B-20151014_33_B1"
"MB077B","GMR_MB077B-20151014_33_B2"
"MB077B","GMR_MB077B-20151014_33_B3"
"MB295B","GMR_MB295B-20151014_33_C1"
"MB295B","GMR_MB295B-20151014_33_C2"
"MB295B","GMR_MB295B-20151014_33_C5"
"MB380B","GMR_MB380B-20151014_33_D1"
"MB380B","GMR_MB380B-20151014_33_D3"
"MB380B","GMR_MB380B-20151014_33_D4"
"MB380B","GMR_MB380B-20151014_33_D6"
"SS00504","GMR_SS00502-20151014_32_A1"
"SS00504","GMR_SS00502-20151014_32_A3"
"SS00504","GMR_SS00502-20151014_32_A7"
"SS01217","GMR_SS01217-20151014_33_E1"
"SS01217","GMR_SS01217-20151014_33_E2"
"SS01217","GMR_SS01217-20151014_33_E3"
"L433","JRC_SS03232-20151007_31_J1"
"L433","JRC_SS03232-20151007_31_J2"
"L433","JRC_SS03232-20151007_31_J4"
"L528","JRC_SS03237-20151014_32_B1"
"L528","JRC_SS03237-20151014_32_B3"
"L528","JRC_SS03237-20151014_32_B6"
"L544","JRC_SS03238-20151007_31_I1"
"L544","JRC_SS03238-20151007_31_I3"
"L544","JRC_SS03238-20151007_31_I4"
"L605","JRC_SS03771-20151014_32_C1"
"L605","JRC_SS03771-20151014_32_C2"
"L605","JRC_SS03771-20151014_32_C3"
"L578","JRC_SS03776-20151014_32_E2"
"L578","JRC_SS03776-20151014_32_E3"
"L578","JRC_SS03776-20151014_32_E5"
"L578","JRC_SS03776-20151014_32_E6"
"L509","JRC_SS03783-20151231_33_A1"
"L509","JRC_SS03783-20151231_33_A2"
"L509","JRC_SS03783-20151231_33_A3"
"L509","JRC_SS03783-20151231_33_A4"
"L509","JRC_SS03783-20151231_33_A5"
"L719","JRC_SS03789-20151014_32_D1"
"L719","JRC_SS03789-20151014_32_D2"
"L719","JRC_SS03789-20151014_32_D3"
"L719","JRC_SS03789-20151014_32_D4"
"L719","JRC_SS03789-20151014_32_D5"
"L719","JRC_SS03789-20151014_32_D6"
"L719","JRC_SS03789-20151014_32_D7"
"L719","JRC_SS03789-20151014_32_D8"
"L1543","JRC_SS03799-20151014_32_F1"
"L1543","JRC_SS03799-20151014_32_F3"
"L1570","JRC_SS03800-20151111_32_E4"
"L1570","JRC_SS03800-20151111_32_E5"
"L1518","JRC_SS03801-20151111_32_F1"
"L1518","JRC_SS03801-20151111_32_F2"
"L1518","JRC_SS03801-20151111_32_F3"
"L1518","JRC_SS03801-20151111_32_F4"
"L1518","JRC_SS03801-20151111_32_F5"
"L416","JRC_SS04016-20151007_31_G2"
"L416","JRC_SS04016-20151007_31_G3"
"L416","JRC_SS04016-20151007_31_G4"
"L420","JRC_SS04028-20151007_31_H1"
"L420","JRC_SS04028-20151007_31_H2"
"L420","JRC_SS04028-20151007_31_H4"
"L1296","JRC_SS04718-20151231_33_F1"
"L1296","JRC_SS04718-20151231_33_F2"
"L1296","JRC_SS04718-20151231_33_F3"
"L1296","JRC_SS04718-20151231_33_F4"
"L1296","JRC_SS04718-20151231_33_F5"
"L1297","JRC_SS04719-20151231_33_E1"
"L1297","JRC_SS04719-20151231_33_E2"
"L1297","JRC_SS04719-20151231_33_E3"
"L1297","JRC_SS04719-20151231_33_E4"
"L1297","JRC_SS04719-20151231_33_E5"
"L849","JRC_SS04948-20150828_31_F1"
"L849","JRC_SS04948-20150828_31_F3"
"L849","JRC_SS04948-20150828_31_F7"
"L509","JRC_SS04949-20150828_31_J2"
"L509","JRC_SS04949-20150828_31_J3"
"L509","JRC_SS04949-20150828_31_J4"
"L1129","JRC_SS04950-20150929_33_F1"
"L123","JRC_SS04951-20150929_33_B1"
"L123","JRC_SS04951-20150929_33_B2"
"L123","JRC_SS04951-20150929_33_B3"
"L173","JRC_SS04952-20150821_31_D4"
"L173","JRC_SS04952-20150821_31_D5"
"L173","JRC_SS04952-20150821_31_D6"
"L173","JRC_SS04952-20150821_31_D7"
"L173","JRC_SS04952-20150821_31_D8"
"L1302","JRC_SS04953-20150929_33_D1"
"L1302","JRC_SS04953-20150929_33_D3"
"L1302","JRC_SS04953-20150929_33_D6"
"L307","JRC_SS04954-20150821_31_A1"
"L258","JRC_SS04955-20150821_31_B1"
"L258","JRC_SS04955-20150821_31_B5"
"L258","JRC_SS04955-20150821_31_B7"
"L258","JRC_SS04955-20150821_31_B8"
"L989","JRC_SS04956-20150828_31_D1"
"L989","JRC_SS04956-20150828_31_D2"
"L989","JRC_SS04956-20150828_31_D3"
"L1197","JRC_SS04957-20150828_31_E1"
"L1197","JRC_SS04957-20150828_31_E3"
"L1197","JRC_SS04957-20150828_31_E6"
"L1197","JRC_SS04957-20151202_33_A1"
"L1197","JRC_SS04957-20151202_33_A2"
"L421","JRC_SS04958-20150929_33_G1"
"L421","JRC_SS04958-20150929_33_G2"
"L421","JRC_SS04958-20150929_33_G3"
"L1284","JRC_SS04959-20151007_31_A1"
"L1284","JRC_SS04959-20151007_31_A4"
"L1284","JRC_SS04959-20151007_31_A5"
"L771","JRC_SS04960-20150929_33_C1"
"L771","JRC_SS04960-20150929_33_C2"
"L771","JRC_SS04960-20150929_33_C3"
"L984","JRC_SS04961-20150828_31_I1"
"L984","JRC_SS04961-20150828_31_I2"
"L984","JRC_SS04961-20150828_31_I3"
"L1337","JRC_SS04962-20150828_31_C3"
"L1337","JRC_SS04962-20150828_31_C5"
"L1337","JRC_SS04962-20150828_31_C6"
"L1337","JRC_SS04962-20151111_32_B1"
"L1337","JRC_SS04962-20151111_32_B2"
"L1337","JRC_SS04962-20151111_32_B3"
"L1337","JRC_SS04962-20151111_32_B4"
"L1337","JRC_SS04962-20151111_32_B5"
"L784","JRC_SS04964-20150821_31_H1"
"L784","JRC_SS04964-20150821_31_H2"
"L784","JRC_SS04964-20150821_31_H3"
"L283","JRC_SS04965-20150821_31_J1"
"L283","JRC_SS04965-20150821_31_J2"
"L283","JRC_SS04965-20150821_31_J3"
"L283","JRC_SS04965-20150821_31_J5"
"L283","JRC_SS04965-20150821_31_J7"
"L283","JRC_SS04965-20151111_32_A3"
"L283","JRC_SS04965-20151111_32_A4"
"L1667","JRC_SS04966-20150929_33_E1"
"L1667","JRC_SS04966-20150929_33_E3"
"L1667","JRC_SS04966-20150929_33_E5"
"L1467","JRC_SS04967-20150828_31_H1"
"L1467","JRC_SS04967-20150828_31_H3"
"L1467","JRC_SS04967-20151202_33_C3"
"L528","JRC_SS04968-20150821_31_F1"
"L528","JRC_SS04968-20150821_31_F2"
"L528","JRC_SS04968-20150821_31_F3"
"L528","JRC_SS04968-20150821_31_F4"
"L528","JRC_SS04968-20150821_31_F5"
"L528","JRC_SS04968-20150821_31_F6"
"L528","JRC_SS04968-20150821_31_F7"
"L206","JRC_SS04969-20150821_31_E1"
"L206","JRC_SS04969-20150821_31_E2"
"L206","JRC_SS04969-20150821_31_E3"
"L206","JRC_SS04969-20150821_31_E4"
"L206","JRC_SS04969-20150821_31_E6"
"L206","JRC_SS04969-20150821_31_E7"
"L1735","JRC_SS04970-20151014_33_A1"
"L1735","JRC_SS04970-20151014_33_A2"
"L1735","JRC_SS04970-20151014_33_A5"
"L1735","JRC_SS04970-20151014_33_A6"
"L728","JRC_SS04971-20150821_31_I1"
"L728","JRC_SS04971-20150821_31_I2"
"L728","JRC_SS04971-20150821_31_I3"
"L728","JRC_SS04971-20150821_31_I5"
"L728","JRC_SS04971-20150821_31_I6"
"L979","JRC_SS04972-20150929_33_A2"
"L979","JRC_SS04972-20150929_33_A4"
"L979","JRC_SS04972-20150929_33_A5"
"L1479","JRC_SS04973-20150821_31_G1"
"L1479","JRC_SS04973-20150821_31_G2"
"L1479","JRC_SS04973-20150821_31_G3"
"L1479","JRC_SS04973-20150828_31_B1"
"L1479","JRC_SS04973-20150828_31_B2"
"L1479","JRC_SS04973-20150828_31_B3"
"L1475","JRC_SS04974-20150828_31_G1"
"L1475","JRC_SS04974-20150828_31_G5"
"L1475","JRC_SS04974-20151202_33_B2"
"L20","JRC_SS15113-20151007_31_B1"
"L20","JRC_SS15113-20151007_31_B2"
"L20","JRC_SS15113-20151007_31_B3"
"L20","JRC_SS15113-20151007_31_B4"
"L20","JRC_SS15113-20151007_31_B5"
"L409","JRC_SS15126-20151007_31_F1"
"L409","JRC_SS15126-20151007_31_F2"
"L409","JRC_SS15126-20151007"
"L235","JRC_SS15302-20151202_33_E1"
"L235","JRC_SS15302-20151202_33_E2"
"L235","JRC_SS15302-20151202_33_E3"
"L1397","JRC_SS16027-20151231_33_C1"
"L1397","JRC_SS16027-20151231_33_C2"
"L1397","JRC_SS16027-20151231_33_C3"
"L1397","JRC_SS16027-20151231_33_C4"
"L807","JRC_SS16036-20151231_33_D1"
"L807","JRC_SS16036-20151231_33_D3"
"L807","JRC_SS16036-20151231_33_D4"
"L807","JRC_SS16036-20151231_33_D5"
"L788","JRC_SS16038-20151111_32_D1"
"L788","JRC_SS16038-20151111_32_D2"
"L788","JRC_SS16038-20151111_32_D3"
"L991","JRC_SS16059-20151111_32_G1"
"L991","JRC_SS16059-20151111_32_G2"
"L991","JRC_SS16059-20151111_32_G3"
"L991","JRC_SS16059-20151111_32_G4"
"L991","JRC_SS16059-20151111_32_G5"
"L954","JRC_SS16060-20151111_32_C1"
"L954","JRC_SS16060-20151111_32_C2"
"L954","JRC_SS16060-20151111_32_C3"
"L1196","JRC_SS16313-20151202_33_G1"
"L1196","JRC_SS16313-20151202_33_G2"
"L1196","JRC_SS16313-20151202_33_G3"
"L907","JRC_SS16364-20151202_33_H1"
"L907","JRC_SS16364-20151202_33_H2"
"L907","JRC_SS16364-20151202_33_H3"
"L196","JRC_SS16578-20151202_33_F1"
"L196","JRC_SS16578-20151202_33_F2"
"L196","JRC_SS16578-20151202_33_F3"
"L117","JRC_SS16580-20151202_33_D1"
"L117","JRC_SS16580-20151202_33_D2"
"L117","JRC_SS16580-20151202_33_D3"
"L545","JRC_SS16650-20151111_32_H1"
"L545","JRC_SS16650-20151111_32_H2"
"L545","JRC_SS16650-20151111_32_H3"
"L545","JRC_SS16650-20151111_32_H4"
"L124","JRC_SS16784-20151202_33_J2"
"L124","JRC_SS16784-20151202_33_J3"
"L1046","JRC_SS16786-20151202_33_I1"
"L1046","JRC_SS16786-20151202_33_I2"
"L1046","JRC_SS16786-20151202_33_I3"
"L803","JRC_SS16787-20151231_33_G1"
"L803","JRC_SS16787-20151231_33_G2"
"L803","JRC_SS16787-20151231_33_G3"
"L803","JRC_SS16787-20151231_33_G4"
"L803","JRC_SS16787-20151231_33_G5"
"L412","JRC_SS16979-20151231_33_H1"
"L412","JRC_SS16979-20151231_33_H2"
"L412","JRC_SS16979-20151231_33_H3"
"L412","JRC_SS16979-20151231_33_H4"
"L412","JRC_SS16979-20151231_33_H5"
"L1295","JRC_SS16980-20151231_33_I1"
"L1295","JRC_SS16980-20151231_33_I2"
"L1295","JRC_SS16980-20151231_33_I3"
"L1295","JRC_SS16980-20151231_33_I4"
"L1295","JRC_SS16980-20151231_33_I5"
"MB036B","GMR_MB036B-20160415_31_I1"
"MB036B","GMR_MB036B-20160415_31_I2"
"MB036B","GMR_MB036B-20160415_31_I3"
"MB036B","GMR_MB036B-20160415_31_J1"
"MB036B","GMR_MB036B-20160415_31_J2"
"MB036B","GMR_MB036B-20160415_31_J3"
"L163","JRC_SS03224-20160415_31_A2"
"L163","JRC_SS03224-20160415_31_A3"
"L163","JRC_SS03224-20160415_31_B1"
"L163","JRC_SS03224-20160415_31_B2"
"L163","JRC_SS03224-20160415_31_B3"
"L188","JRC_SS03226-20160309_31_C2"
"L188","JRC_SS03226-20160309_31_C4"
"L188","JRC_-20160309_31_C5"
"L188","JRC_SS03226-20160427_32_F1"
"L188","JRC_SS03226-20160427_32_F2"
"L188","JRC_SS03226-20160427_32_F4"
"L188","JRC_SS03226-20160427_32_G1"
"L188","JRC_-20160427_32_G2"
"L188","JRC_SS03226-20160427_32_G3"
"L544","JRC_SS03238-20151007_31_I2"
"L3","JRC_SS03662-20160422_31_D1"
"L3","JRC_SS03662-20160422_31_D2"
"L3","JRC_SS03662-20160422_31_D3"
"L3","JRC_SS03662-20160422_31_E1"
"L3","JRC_SS03662-20160422_31_E2"
"L3","JRC_SS03662-20160422_31_E3"
"L263","JRC_SS03671-20160427_31_I4"
"L263","JRC_SS03671-20160427_31_I5"
"L263","JRC_SS03671-20160427_31_I6"
"L263","JRC_SS03671-20160427_31_J1"
"L263","JRC_SS03671-20160427_31_J3"
"L263","JRC_SS03671-20160427_31_J4"
"L1828","JRC_SS03773-20160415_31_G1"
"L1828","JRC_SS03773-20160415_31_G2"
"L1828","JRC_SS03773-20160415_31_G3"
"L1828","JRC_SS03773-20160415_31_H1"
"L1828","JRC_SS03773-20160415_31_H2"
"L1828","JRC_SS03773-20160415_31_H3"
"L578","JRC_-20160602_31_A2"
"L578","JRC_SS03776-20160602_31_A"
"L578","JRC_SS03776-20160602_31_A6"
"L578","JRC_SS03776-20160602_31_B2"
"L578","JRC_SS03776-20160602_31_B4"
"L578","JRC_SS03776-20160602_31_B5"
"L580","JRC_SS03780-20160602_31_C3"
"L580","JRC_SS03780-20160602_31_C4"
"L580","JRC_SS03780-20160602_31_C5"
"L580","JRC_SS03780-20160602_31_D2"
"L580","JRC_SS03780-20160602_31_D3"
"L580","JRC_SS03780-20160602_31_D6"
"L717","JRC_SS03788-20160621_33_A1"
"L717","JRC_-20160621_33_A3"
"L717","JRC_SS03788-20160621_33_A5"
"L717","JRC_SS03788-20160621_33_B2"
"L717","JRC_SS03788-20160621_33_B3"
"L717","JRC_SS03788-20160621_33_B5"
"L1668","JRC_SS03791-20160525_31_A1"
"L1668","JRC_SS03791-20160525_31_A2"
"L1668","JRC_SS03791-20160525_31_A3"
"L1668","JRC_SS03791-20160525_31_B1"
"L1668","JRC_SS03791-20160525_31_B2"
"L1531","JRC_SS03797-20160621_33_C3"
"L1531","JRC_SS03797-20160621_33_C5"
"L1531","JRC_SS03797-20160621_33_C6"
"L1531","JRC_SS03797-20160621_33_D1"
"L1531","JRC_SS03797-20160621_33_D5"
"L1543","JRC_SS03799-20151014_32_F5"
"L1570","JRC_SS03800-20151111_32_E2"
"L784","JRC_SS03802-20160415_31_C1"
"L784","JRC_SS03802-20160415_31_C3"
"L784","JRC_SS03802-20160415_31_D1"
"L784","JRC_SS03802-20160415_31_D2"
"L784","JRC_SS03802-20160415_31_D3"
"L416","JRC_SS04016-20160602_31_G2"
"L416","JRC_SS04016-20160602_31_G3"
"L416","JRC_SS04016-20160602_31_G4"
"L416","JRC_SS04016-20160602_31_H1"
"L416","JRC_SS04016-20160602_31_H6"
"L420","JRC_SS04028-20160602_31_I3"
"L420","JRC_SS04028-20160602_31_I4"
"L420","JRC_SS04028-20160602_31_I5"
"L420","JRC_SS04028-20160602_31_J5"
"L420","JRC_SS04028-20160602_31_J6"
"L123","JRC_SS04951-20150929_33_B4"
"L1302","JRC_SS04953-20150929_33_D2"
"L1302","JRC_SS04953-20150929_33_D4"
"L1302","JRC_SS04953-20150929_33_D5"
"L1197","JRC_SS04957-20160415_31_E1"
"L1197","JRC_SS04957-20160415_31_E2"
"L1197","JRC_SS04957-20160415_31_E3"
"L1197","JRC_SS04957-20160415_31_F1"
"L1197","JRC_SS04957-20160415_31_F2"
"L1197","JRC_SS04957-20160415_31_F5"
"L1284","JRC_SS04959-20151007_31_A2"
"L1284","JRC_SS04959-20151007_31_A3"
"L771","JRC_SS04960-20150929_33_C4"
"L771","JRC_SS04960-20150929_33_C5"
"L283","JRC_SS04965-20151111_32_A1"
"L283","JRC_SS04965-20151111_32_A2"
"L283","JRC_SS04965-20160525_31_C2"
"L283","JRC_SS04965-20160525_31_C3"
"L283","JRC_SS04965-20160525_31_D2"
"L283","JRC_SS04965-20160525_31_D3"
"L1667","JRC_SS04966-20150929_33_E2"
"L1667","JRC_SS04966-20150929_33_E4"
"L1735","JRC_SS04970-20151014_33_A3"
"L1479","JRC_SS04973-20160518_31_A2"
"L1479","JRC_SS04973-20160518_31_A3"
"L1479","JRC_SS04973-20160518_31_A4"
"L1479","JRC_SS04973-20160518_31_B1"
"L1479","JRC_SS04973-20160518_31_B3"
"L1479","JRC_SS04973-20160518_31_B4"
"L200","JRC_SS05085-20160427_31_E1"
"L200","JRC_SS05085-20160427_31_E2"
"L200","JRC_SS05085-20160427_31_E3"
"L200","JRC_SS05085-20160427_31_F1"
"L200","JRC_SS05085-20160427_31_F3"
"L200","JRC_SS05085-20160427_31_F4"
"L19","JRC_SS06600-20160422_32_E1"
"L19","JRC_SS06600-20160422_32_E2"
"L19","JRC_SS06600-20160422_32_E3"
"L19","JRC_SS06600-20160422_32_F1"
"L19","JRC_SS06600-20160422_32_F3"
"L19","JRC_SS06600-20160422_32_F4"
"L374","JRC_SS15112-20160622_32_A2"
"L374","JRC_SS15112-20160622_32_A3"
"L374","JRC_SS15112-20160622_32_A4"
"L374","JRC_SS15112-20160622_32_B2"
"L374","JRC_SS15112-20160622_32_B3"
"L374","JRC_SS15112-20160622_32_B4"
"L17","JRC_SS15125-20160422_32_C1"
"L17","JRC_SS15125-20160422_32_C2"
"L17","JRC_SS15125-20160422_32_C3"
"L17","JRC_SS15125-20160422_32_D1"
"L17","JRC_SS15125-20160422_32_D2"
"L17","JRC_SS15125-20160422_32_D3"
"L409","JRC_SS15126-20151007_31_F3"
"L409","JRC_SS15126-20151007_31_F5"
"L185","JRC_SS15249-20160427_32_D1"
"L185","JRC_SS15249-20160427_32_D2"
"L185","JRC_SS15249-20160427_32_E2"
"L185","JRC_SS15249-20160427_32_E3"
"L185","JRC_SS15249-20160427_32_E4"
"L194","JRC_SS15256-20160309_31_D1"
"L194","JRC_SS15256-20160309_31_D2"
"L194","JRC_SS15256-20160309_31_D4"
"L260","JRC_SS15267-20160427_32_H1"
"L260","JRC_SS15267-20160427_32_H2"
"L260","JRC_SS15267-20160427_32_H3"
"L260","JRC_SS15267-20160427_32_I1"
"L260","JRC_SS15267-20160427_32_I3"
"L260","JRC_SS15267-20160427_32_I5"
"L159","JRC_SS15273-20160427_32_A2"
"L159","JRC_SS15273-20160427_32_A3"
"L159","JRC_SS15273-20160427_32_A4"
"L159","JRC_SS15273-20160427_32_B2"
"L159","JRC_SS15273-20160427_32_B4"
"L159","JRC_SS15273-20160427_32_B5"
"L259","JRC_SS15285-20160309_31_I2"
"L259","JRC_SS15285-20160309_31_I3"
"L259","JRC_SS15285-20160309_31_I4"
"L97","JRC_SS15286-20160422_31_A2"
"L97","JRC_SS15286-20160422_31_A3"
"L97","JRC_SS15286-20160422_31_A4"
"L97","JRC_SS15286-20160422_31_B1"
"L97","JRC_SS15286-20160422_31_B2"
"L97","JRC_SS15286-20160422_31_B3"
"L180","JRC_SS15290-20160309_31_H1"
"L180","JRC_SS15290-20160309_31_H2"
"L180","JRC_SS15290-20160309_31_H3"
"L166","JRC_SS15293-20160309_31_G1"
"L166","JRC_SS15293-20160309_31_G2"
"L166","JRC_SS15293-20160309_31_G3"
