"SS00637","GMR_SS00637-20130124_31_D4"
"L807","JRC_SS16036-20151231_33_D2"
"L1045","JRC_SS16056-20160504_31_C2"
"L1045","JRC_SS16056-20160504_31_C3"
"L1045","JRC_SS16056-20160504_31_D1"
"L1045","JRC_SS16056-20160504_31_D2"
"L954","JRC_SS16060-20151111_32_C4"
"L954","JRC_SS16060-20160504_31_G1"
"L954","JRC_SS16060-20160504_31_G2"
"L954","JRC_SS16060-20160504_31_G3"
"L954","JRC_SS16060-20160504_31_H1"
"L954","JRC_SS16060-20160504_31_H2"
"L954","JRC_SS16060-20160504_31_H3"
"L1112","JRC_SS16337-20160504_31_E1"
"L1112","JRC_SS16337-20160504_31_E2"
"L1112","JRC_SS16337-20160504_31_E3"
"L1112","JRC_SS16337-20160504_31_F1"
"L1112","JRC_SS16337-20160504_31_F2"
"L1112","JRC_SS16337-20160504_31_F3"
"L1473","JRC_SS16345-20160518_31_C2"
"L1473","JRC_SS16345-20160518_31_C3"
"L1473","JRC_SS16345-20160518_31_D1"
"L1473","JRC_SS16345-20160518_31_D2"
"L1473","JRC_SS16345-20160518_31_D4"
"L1358","JRC_SS16373-20160518_31_E1"
"L1358","JRC_SS16373-20160518_31_E3"
"L1358","JRC_SS16373-20160518_31_E4"
"L1358","JRC_SS16373-20160518_31_F1"
"L1358","JRC_SS16373-20160518_31_F3"
"L102","JRC_SS16571-20160504_31_A3"
"L102","JRC_SS16571-20160504_31_B1"
"L102","JRC_SS16571-20160504_31_B2"
"L191","JRC_SS16583-20160525_31_G1"
"L191","JRC_SS16583-20160525_31_G2"
"L191","JRC_SS16583-20160525_31_G3"
"L191","JRC_SS16583-20160525_31_H1"
"L191","JRC_SS16583-20160525_31_H3"
"L191","JRC_SS16583-20160525_31_H4-"
"L247","JRC_SS16661-20160525_31_I1"
"L247","JRC_SS16661-20160525_31_I2"
"L247","JRC_SS16661-20160525_31_I3"
"L247","JRC_SS16661-20160525_31_J1"
"L247","JRC_SS16661-20160525_31_J2"
"L247","JRC_SS16661-20160525_31_J3"
"L1293","JRC_SS16977-20160518_31_G2"
"L1293","JRC_SS16977-20160518_31_G3"
"L1293","JRC_SS16977-20160518_31_H1"
"L1293","JRC_SS16977-20160518_31_H2"
"L1293","JRC_SS16977-20160518_31_H3"
"L1740","JRC_SS22377-20160622_32_C4"
"L1740","JRC_SS22377-20160622_32_C5"
"L1740","JRC_SS22377-20160622_32_D4"
"L1740","JRC_SS22377-20160622_32_D6"
"L1395","JRC_SS22613-20160621_33_G2"
"L1395","JRC_SS22613-20160621_33_G4"
"L1395","JRC_SS22613-20160621_33_G5"
"L1614","JRC_SS22675-20160622_32_F1"
"L1614","JRC_SS22675-20160622_32_F3"
"L1614","JRC_SS22675-20160622_32_F4"
"L1614","JRC_SS22675-20160622_32_G1"
"L1614","JRC_SS22675-20160622_32_G2"
"L1614","JRC_SS22675-20160622_32_G4"
"L1721","JRC_SS22713-20160622_32_I1"
"L1721","JRC_SS22713-20160622_32_I3"
"L1721","JRC_SS22713-20160622_32_I4"
"L1721","JRC_SS22713-20160622_32_J1"
"L1721","JRC_SS22713-20160622_32_J2"
"L1721","JRC_SS22713-20160622_32_J4"
"L1925","JRC_SS23087-20160621_33_H1"
"L1925","JRC_SS23087-20160621_33_H2"
"L1925","JRC_SS23087-20160621_33_H4"
"L1925","JRC_SS23087-20160621_33_I1"
"L1925","JRC_SS23087-20160621_33_I4"
"L2001","JRC_SS23097-20160629_31_C1"
"L2001","JRC_SS23097-20160629_31_C3"
"L2001","JRC_SS23097-20160629_31_D2"
"L2001","JRC_SS23097-20160629_31_D3"
"L2033","JRC_SS23107-20160629_31_E6"
"L2033","JRC_SS23107-20160629_31_F4"
"L2033","JRC_SS23107-20160629_31_F6"
"L2041","JRC_SS23112-20160629_31_G4"
"L2041","JRC_SS23112-20160629_31_G5"
"L2041","JRC_SS23112-20160629_31_G6"
"L2041","JRC_SS23112-20160629_31_H1"
"L2041","JRC_SS23112-20160629_31_H2"
"L2041","JRC_SS23112-20160629_31_H5"
"L2051","JRC_SS23114-20160629_32_A1"
"L2051","JRC_SS23114-20160629_32_A2"
"L2051","JRC_SS23114-20160629_32_A3"
"L2051","JRC_SS23114-20160629_32_B3"
"L2051","JRC_SS23114-20160629_32_B5"
"L1940","JRC_SS23384-20160629_31_A2"
"L1940","JRC_SS23384-20160629_31_B4"
"L2382","JRC_SS24794-20160629_32_E1"
"L2382","JRC_SS24794-20160629_32_E2"
"L2382","JRC_SS24794-20160629_32_E3"
"L2382","JRC_SS24794-20160629_32_F1"
"L2382","JRC_SS24794-20160629_32_F2"
"L2382","JRC_SS24794-20160629_32_F5"
"L2392","JRC_SS24820-20160621_33_E1"
"L2392","JRC_SS24820-20160621_33_E5"
"L2392","JRC_SS24820-20160621_33_E6"
"L2392","JRC_SS24820-20160621_33_F2"
"L2392","JRC_SS24820-20160621_33_F3"
"L2392","JRC_SS24820-20160621_33_F4"
"L2387","JRC_SS24825-20160629_32_G3"
"L2387","JRC_SS24825-20160629_32_G4"
"L2387","JRC_SS24825-20160629_32_G6"
"L2387","JRC_SS24825-20160629_32_H1"
"L2387","JRC_SS24825-20160629_32_H2"
"L2387","JRC_SS24825-20160629_32_H3"
"L2312","JRC_SS24831-20160629_32_C1"
"L2312","JRC_SS24831-20160629_32_C3"
"L2312","JRC_SS24831-20160629_32_C6"
"L2312","JRC_SS24831-20160629_32_D1"
"L2312","JRC_SS24831-20160629_32_D2"
"L2312","JRC_SS24831-20160629_32_D4"
"L108","JRC_SS28602-20160427_31_G1"
"L108","JRC_SS28602-20160427_31_G3"
"L108","JRC_SS28602-20160427_31_G4"
"L108","JRC_SS28602-20160427_31_H1"
"L108","JRC_SS28602-20160427_31_H2"
"L108","JRC_SS28602-20160427_31_H3"
"L2158","JRC_SS23161-20160622_31_C1"
"L2158","JRC_SS23161-20160622_31_C2"
"L2158","JRC_SS23161-20160622_31_C5"
"L2158","JRC_SS23161-20160622_31_D1"
"L2158","JRC_SS23161-20160622_31_D3"
"L2233","JRC_SS23187-20160622_31_G2"
"L2233","JRC_SS23187-20160622_31_G3"
"L2233","JRC_SS23187-20160622_31_G4"
"L2233","JRC_SS23187-20160622_31_H3"
"L2087","JRC_SS24177-20160622_31_A1"
"L2087","JRC_SS24177-20160622_31_A2"
"L2087","JRC_SS24177-20160622_31_B1"
"L2087","JRC_SS24177-20160622_31_B2"
"L2087","JRC_SS24177-20160622_31_B3"
"MB072C","GMR_MB072C-20161019_32_E1"
"MB072C","GMR_MB072C-20161019_32_E3"
"MB072C","GMR_MB072C-20161019_32_E6"
"MB072C","GMR_MB072C-20161019_32_F1"
"MB072C","GMR_MB072C-20161019_32_F2"
"MB072C","GMR_MB072C-20161019_32_F3"
"MB242A","GMR_MB242A-20161019_32_G3"
"MB242A","GMR_MB242A-20161019_32_G4"
"MB242A","GMR_MB242A-20161019_32_G5"
"MB242A","GMR_MB242A-20161019_32_H1"
"MB242A","GMR_MB242A-20161019_32_H2"
"MB242A","GMR_MB242A-20161019_32_H6"
"L16","GMR_SS00367-20160812_31_A2"
"L16","GMR_SS00367-20160812_31_A3"
"L16","GMR_SS00367-20160812_31_A4"
"L16","GMR_SS00367-20160812_31_B1"
"L16","GMR_SS00367-20160812_31_B3"
"L16","GMR_SS00367-20160812_31_B6"
"L163","JRC_SS03224-20160914_32_I1"
"L16","JRC_SS03224-20160914_32_I2"
"L16","JRC_SS03224-20160914_32_I3"
"L16","JRC_SS03224-20160914_32_J2"
"L16","JRC_SS03224-20160914_32_J5"
"L15","JRC_SS03663-20160923_32_G3"
"L15","JRC_SS03663-20160923_32_G5"
"L15","JRC_SS03663-20160923_32_G6"
"L1668","JRC_SS03791-20160525_31_B3"
"L563","JRC_SS04013-20160914_32_G2"
"L563","JRC_SS04013-20160914_32_H2"
"L563","JRC_SS04013-20160914_32_H3"
"L549","JRC_SS04018-20160812_31_F2"
"L549","JRC_SS04018-20160812_31_F3"
"L549","JRC_SS04018-20160812_31_G2"
"L549","JRC_SS04018-20160812_31_G3"
"L549","JRC_SS04018-20160812_31_G4"
"L248","JRC_SS04041-20160812_31_H3"
"L248","JRC_SS04041-20160812_31_H4"
"L248","JRC_SS04041-20160812_31_H6"
"L248","JRC_SS04041-20160812_31_I1"
"L248","JRC_SS04041-20160812_31_I2"
"L248","JRC_SS04720-20160812_31_C1"
"L248","JRC_SS04720-20160812_31_C2"
"L248","JRC_SS04720-20160812_31_C4"
"L248","JRC_SS04720-20160812_31_D2"
"L248","JRC_SS04720-20160812_31_D5"
"L2094","JRC_SS04924-20160812_32_D2"
"L2094","JRC_SS04924-20160812_32_E1"
"L2094","JRC_SS04924-20160812_32_E3"
"L2094","JRC_SS04924-20160812_32_E4"
"L283","JRC_SS04965-20160525_31_D1"
"L409","JRC_SS15126-20160727_31_A2"
"L409","JRC_SS15126-20160727_31_A3"
"L409","JRC_SS15126-20160727_31_A5"
"L409","JRC_SS15126-20160727_31_B3"
"L279","JRC_SS15300-20160914_32_C1"
"L279","JRC_SS15300-20160914_32_C4"
"L279","JRC_SS15300-20160914_32_D2"
"L279","JRC_SS15300-20160914_32_D3"
"L279","JRC_SS15300-20160914_32_D4"
"L568","JRC_SS16329-20160727_31_E1"
"L1328","JRC_SS16353-20160923_31_H2"
"L1328","JRC_SS16353-20160923_31_H4"
"L1328","JRC_SS16353-20160923_31_I1"
"L1328","JRC_SS16353-20160923_31_I2"
"L1328","JRC_SS16353-20160923_31_I3"
"L1350","JRC_SS16359-20160923_31_E1"
"L459","JRC_SS16648-20160914_32_E2"
"L494","JRC_SS16659-20160923_32_C2"
"L494","JRC_SS16659-20160923_32_C3"
"L494","JRC_SS16659-20160923_32_C5"
"L494","JRC_SS16659-20160923_32_C6"
"L567","JRC_SS21825-20160928_31_A1"
"L567","JRC_SS21825-20160928_31_A2"
"L567","JRC_SS21825-20160928_31_A3"
"L567","JRC_SS21825-20160928_31_A5"
"L567","JRC_SS21825-20160928_31_A6"
"L567","JRC_SS21825-20160928_31_B1"
"L1049","JRC_SS22337-20161005_32_A4"
"L1049","JRC_SS22337-20161005_32_A6"
"L1049","JRC_SS22337-20161005_32_B1"
"L1049","JRC_SS22337-20161005_32_B3"
"L1049","JRC_SS22337-20161005_32_B4"
"L1740","JRC_SS22377-20160622_32_D2"
"L1000","JRC_SS22532-20160928_31_C1"
"L1000","JRC_SS22532-20160928_31_C2"
"L1000","JRC_SS22532-20160928_31_C3"
"L1000","JRC_SS22532-20160928_31_D1"
"L1000","JRC_SS22532-20160928_31_D4"
"L1395","JRC_SS22613-20160621_33_G3"
"L1925","JRC_SS23087-20160621_33_I2"
"L2185","JRC_SS23170-20160622_31_F3"
"L2185","JRC_SS23170-20160622_31_F4"
"L2185","JRC_SS23170-20160622_31_F5"
"L1959","JRC_SS23354-20160824_31_F5"
"L1850","JRC_SS23807-20160812_32_A2"
"L1850","JRC_SS23807-20160812_32_A3"
"L1850","JRC_SS23807-20160812_32_A6"
"L1850","JRC_SS23807-20160812_32_B1"
"L1850","JRC_SS23807-20160812_32_B4"
"L2170","JRC_SS24146-20160824_31_G1"
"L2170","JRC_SS24146-20160824_31_G4"
"L2170","JRC_SS24146-20160824_31_G6"
"L2170","JRC_SS24146-20160824_31_H4"
"L2345","JRC_SS24813-20161019_32_C2"
"L2338","JRC_SS24815-20160812_32_G2"
"L2312","JRC_SS24831-20161019_32_A1"
"L883","JRC_SS25835-20161005_32_C3"
"L883","JRC_SS25835-20161005_32_C6"
"L883","JRC_SS25835-20161005_32_D5"
"L482","JRC_SS26634-20161005_32_E1"
"L2185","JRC_SS23170-20161116_31_C5"
"L2098","JRC_SS23129-20170425_31_F2"
"L2098","JRC_SS23129-20170425_31_F3"
"L2098","JRC_SS23129-20170425_31_E4"
"L2098","JRC_SS23129-20170425_31_E6"
"L2098","JRC_SS23129-20170425_31_E2"
"L2002","JRC_SS23098-20170425_31_D6"
"L1812","JRC_SS22730-20170425_31_B2"
"L1812","JRC_SS22730-20170425_31_B3"
"L1812","JRC_SS22730-20170425_31_B4"
"L1812","JRC_SS22730-20170425_31_A6"
"L1812","JRC_SS22730-20170425_31_A4"
"L475","JRC_SS30939-20170425_32_F3"
"L475","JRC_SS30939-20170425_32_E6"
"L475","JRC_SS30939-20170425_32_E1"
"L475","JRC_SS30939-20170425_32_E2"
"L1899","JRC_SS23369-20170425_32_C5"
"L1965","JRC_SS23346-20170425_32_B6"
"L1965","JRC_SS23346-20170425_32_B5"
"L1965","JRC_SS23346-20170425_32_A5"
"L1965","JRC_SS23346-20170425_32_A4"
"L1965","JRC_SS23346-20170425_32_A1"
"L629","JRC_SS22737-20170411_31_I6"
"L629","JRC_SS22737-20170411_31_J1"
"L629","JRC_SS22737-20170411_31_J2"
"L629","JRC_SS22737-20170411_31_I4"
"L629","JRC_SS22737-20170411_31_I1"
"L1129","JRC_SS04950-20170411_31_G2"
"L1129","JRC_SS04950-20170411_31_G6"
"L1129","JRC_SS04950-20170411_31_G1"
"L1129","JRC_SS04950-20170411_31_F3"
"L1129","JRC_SS04950-20170411_31_F4"
"L788","JRC_SS16038-20170411_31_D5"
"L788","JRC_SS16038-20170411_31_C1"
"L788","JRC_SS16038-20170411_31_C3"
"L451","JRC_SS15272-20170411_31_B3"
"L2201","JRC_SS24671-20170411_32_D6"
"L1827","JRC_SS22732-20170214_31_D2"
"L1827","JRC_SS22732-20170214_31_D3"
"L788","JRC_SS16038-20170214_31_B4"
"L1827","JRC_SS22732-20170214_31_C2"
"L1827","JRC_SS22732-20170214_31_C1"
"L788","JRC_SS16038-20170214_31_A6"
"L788","JRC_SS16038-20170214_31_B1"
"L788","JRC_SS16038-20170214_31_A3"
"L788","JRC_SS16038-20170214_31_A2"
"L2278","JRC_SS24645-20170214_32_E3"
"L1140","JRC_SS22550-20170104_33_J5"
"L1140","JRC_SS22550-20170104_33_I6"
"L1140","JRC_SS22550-20170104_33_J2"
"L1140","JRC_SS22550-20170104_33_I3"
"L1140","JRC_SS22550-20170104_33_I2"
"L1140","JRC_SS22550-20170104_33_I1"
"L2314","JRC_SS24835-20170104_33_G2"
"L629","JRC_SS22737-20170104_33_C2"
"L1959","JRC_SS23354-20170104_33_D1"
"L1959","JRC_SS23354-20170104_33_D2"
"L2314","JRC_SS24835-20170104_33_G1"
"L1959","JRC_SS23354-20170104_33_E3"
"L629","JRC_SS22737-20170104_33_B3"
"L1959","JRC_SS23354-20170104_33_D4"
"L2314","JRC_SS24835-20170104_33_F1"
"L629","JRC_SS22737-20170104_33_A6"
"L629","JRC_SS22737-20170104_33_B1"
"L629","JRC_SS22737-20170104_33_A3"
"L629","JRC_SS22737-20170104_33_A1"
"L1538","JRC_SS22646-20170103_33_H1"
"L1538","JRC_SS22646-20170103_33_H2"
"L1538","JRC_SS22646-20170103_33_H4"
"L1139","JRC_SS22549-20170103_33_G3"
"L1139","JRC_SS22549-20170103_33_G2"
"L1139","JRC_SS22549-20170103_33_G1"
"L1139","JRC_SS22549-20170103_33_F4"
"L1139","JRC_SS22549-20170103_33_F3"
"L1397","JRC_SS16027-20170103_33_D3"
"L1397","JRC_SS16027-20170103_33_E1"
"L1397","JRC_SS16027-20170103_33_D1"
"L1397","JRC_SS16027-20170103_33_C5"
"L1397","JRC_SS16027-20170103_33_C3"
"L1129","JRC_SS04950-20170103_33_B4"
"L1129","JRC_SS04950-20170103_33_B6"
"L1397","JRC_SS16027-20170103_33_C1"
"L1129","JRC_SS04950-20170103_33_B3"
"L1129","JRC_SS04950-20170103_33_A4"
"L1129","JRC_SS04950-20170103_33_A3"
"L1129","JRC_SS04950-20170103_33_A2"
"L2363","JRC_SS27110-20161116_32_I1"
"L2363","JRC_SS27110-20161116_32_I2"
"L2363","JRC_SS27110-20161116_32_I3"
"L2363","JRC_SS27110-20161116_32_H5"
"L2363","JRC_SS27110-20161116_32_H3"
"L2109","JRC_SS23137-20161116_32_F2"
"L2109","JRC_SS23137-20161116_32_F5"
"L2109","JRC_SS23137-20161116_32_F1"
"L1539","JRC_SS22647-20161116_32_D4"
"L2109","JRC_SS23137-20161116_32_E5"
"L2109","JRC_SS23137-20161116_32_E1"
"L2109","JRC_SS23137-20161116_32_E2"
"L1539","JRC_SS22647-20161116_32_D3"
"L1539","JRC_SS22647-20161116_32_D2"
"L1539","JRC_SS22647-20161116_32_C6"
"L1539","JRC_SS22647-20161116_32_C3"
"L1539","JRC_SS22647-20161116_32_C1"
"L1524","JRC_SS22640-20161116_32_B5"
"L1524","JRC_SS22640-20161116_32_B4"
"L1524","JRC_SS22640-20161116_32_A5"
"L2363","JRC_SS27110-20161116_32_H1"
"L1524","JRC_SS22640-20161116_32_B1"
"L1524","JRC_SS22640-20161116_32_A3"
"L1524","JRC_SS22640-20161116_32_A1"
"L2317","JRC_SS25954-20161116_31_G5"
"L2317","JRC_SS25954-20161116_31_H1"
"L2317","JRC_SS25954-20161116_31_H2"
"L2193","JRC_SS24679-20161116_31_F1"
"L2193","JRC_SS24679-20161116_31_F2"
"L2193","JRC_SS24679-20161116_31_F3"
"L2193","JRC_SS24679-20161116_31_E3"
"L2193","JRC_SS24679-20161116_31_E4"
"L2185","JRC_SS23170-20161116_31_D3"
"L2185","JRC_SS23170-20161116_31_D4"
"L2193","JRC_SS24679-20161116_31_E1"
"L188","JRC_SS03226-20161116_31_A2"
"L2185","JRC_SS23170-20161116_31_C4"
"L188","JRC_SS03226-20161116_31_A6"
"L188","JRC_SS03226-20161116_31_B5"
"L188","JRC_SS03226-20161116_31_B2"
"L188","JRC_SS03226-20161116_31_B6"
"L188","JRC_SS03226-20161116_31_A4"
"L2185","JRC_SS23170-20161116_31_C1"
"L2185","JRC_SS23170-20161116_31_D2"
