"L237","GMR_34E09_AV_01-20141212_41_B2","47B03","34E09","29A","1","Maybe","Yes_TI-wk22","","Yes","Needimage"
"L240","GMR_34G01_XD_01-20141212_41_B3","54G12","34G01","1B","1","20X Paavo 2015","Yes_TI_wk11","Yes_TI_wk25","Yes","Medium"
"L249","GMR_34H05_AV_01-20141219_41_G3","14B11","34H05","7","1","Yes","Yes_TI_wk2","","No","Medium"
"L258","GMR_37F05_AV_01-20141212_41_C3","21D06","37F05","54","1","20X Paavo 2015","Yes_TI_wk2","Yes-rd2","Yes","Weak"
"L259","GMR_37F05_AV_01-20141212_41_C5","93F07","37F05","54","1","20X Paavo 2015","Yes_TI_wk1","Yes-TI_wk7","Yes","None"
"L260","GMR_38F08_AV_01-20141212_41_D2","46E07","38F08","8C","1","20X Shiuan-Tze 2015","Yes_TI_wk11","Case4_Wk5","Yes","Weak"
"L267","GMR_38F08_AV_01-20141219_41_C5","46E11","38F08","","1","Yes","","","Yes","Strong"
"L263","GMR_38F08_AV_01-20141219_41_G5","14B11","38F08","7,8A","1","Yes","Yes_TI_wk11","Yes-TI_flycore_18Apr-30May16","Yes","None"
"L272","GMR_41H09_AV_01-20141219_41_D1","14E05","41H09","7","1","Yes","Yes_TI_wk2","Yes","Yes","Medium"
"L279","GMR_41H09_AV_01-20141219_42_F4","70G05","41H09","53","1","20X Shiuan-Tze 2015","Yes_TI_wk2","Yes-TI_wk15-16 (flycore)","Yes","None"
"L291","GMR_45F12_AV_01-20141219_42_F2","31D07","45F12","3A","1","20X_PaavoMike_July_2016","Yes_TI_wk2","Case4_Wk5","Yes","Medium"
"L298","GMR_46E07_XD_01-20141219_41_D5","38F08","46E07","8C","","","","","Yes","Medium"
"L303","GMR_46E11_XD_01-20141219_41_A1","14E05","46E11","7","2","Yes","","","Yes","Strong"
"L300","GMR_46E11_XD_01-20141219_41_E1","47B03","46E11","7","2","Maybe","","","Yes","None"
"L307","GMR_47B01_XD_01-20141219_41_F3","20G01","47B01","1D","1","20X Paavo 2015","Yes_TI_wk11","Yes_TI_wk25","Yes","Strong"
"L309","GMR_47B01_XD_01-20141219_42_F1","55C05","47B01","1G","1","Yes","Yes_TI_wk2","Yes-TI_wk2","Yes","Needimage"
"L314","GMR_47B03_AV_01-20141219_41_A3","14E05","47B03","7","2","","Yes_TI_wk2","Yes","No","Weak"
"L325","GMR_47B03_AV_01-20141219_41_B5","54G12","47B03","1A","1","20X Shiuan-Tze 2015","Yes_TI_wk2","Yes_TI_wk25","Yes","None"
"L320","GMR_47B03_AV_01-20141219_41_D3","33E02","47B03","88","2","20X Shiuan-Tze 2015","Yes_TI_wk3","Yes","Yes","None"
"L354","GMR_48G01_AV_01-20141121_43_E6","55C05","48G01","1G, 3B","2","Yes","","","Yes","Don't Care"
"L345","GMR_48G01_AV_01-20141219_41_C1","16C09","48G01","1D","4","Yes","","","Yes","Weak"
"L376","GMR_53B06_AV_01-20141121_43_A1","20A03","53B06","51A","3","Yes","","","Yes","Strong"
"L378","GMR_53B06_AV_01-20141121_43_A5","31D07","53B06","3A","1","No","Yes_TI_wk9","Yes","Yes","Strong"
"L371","GMR_53B06_AV_01-20141121_43_F5","10A09","53B06","51C","","20X Shiuan-Tze 2015","Yes_TI_wk3","Yes","Yes","Weak"
"L372","GMR_53B06_AV_01-20141121_43_G2","65H10","53B06","51C","1","No","","","Yes","Don't Care"
"L374","GMR_53B06_AV_01-20141121_43_G3","13E04","53B06","3C,51B,51C","1","","Yes_TI-wk20","Yes-TI_wk10","Yes","Medium"
"L383","GMR_53C02_AV_01-20141121_43_B1","46E11","53C02","7","3","Yes","","","Yes","Strong"
"L404","GMR_53D01_AV_01-20141121_43_B3","42D01","53D01","4A","2","No","","","Yes","Strong"
"L408","GMR_53D01_AV_01-20141121_43_C1","64E06","53D01","4E","1","Yes","Yes_TI_wk3","Yes-TI_flycore_18Apr-30May16","Yes","Medium"
"L409","GMR_53D01_AV_01-20141121_43_C3","79C09","53D01","4A","1","Yes","Yes_TI_wk3","Yes-TI_flycore_18Apr-30May16","Yes","Weak"
"L416","GMR_54G12_AV_01-20141121_43_C6","20A03","54G12","1A, 1B","2","Yes","Yes_TI_wk11","Yes-TI_flycore_18Apr-30May16","Yes","Don't Care"
"L417","GMR_54G12_AV_01-20141121_43_D1","20G01","54G12","1D, 1E","1","No","Yes_TI_wk3","","Yes","Strong"
"L418","GMR_54G12_AV_01-20141121_43_G5","24C08","54G12","1C","1","Yes","Yes_TI_wk9","Yes_TI_wk26","Yes","Weak"
"L419","GMR_54G12_AV_01-20141121_43_H2","33D07","54G12","1A, 1B","2","Yes","","","Yes","Don't Care"
"L420","GMR_54G12_AV_01-20141121_43_H3","33E02","54G12","1B","2","Maybe","Yes_TI_wk3","Yes-TI_flycore_18Apr-30May16","Yes","Strong"
"L452","GMR_59C09_AV_01-20141219_41_B1","65H10","59C09","70A","2","Yes","Yes_TI_wk3","","Yes","Medium"
